"Census Division
State",,"Number of
Consumers","Average Monthly
"· The average revenue per kilowatthour of electricity sold is calculated by dividing revenue by sales.
· Electric revenue and sales data are reported by electric utilities in thousand dollars and thousand kilowatthours.  Average revenues per kilowatthour for small electric utilities are provided but the significance of the data is not sufficient to make the ratio meaningful.
-  Information on certain sales in California related to the California Department of Water Resources' emergency intervention into California retail markets in 2001 are carried in Tables C1 through C5 (unbundled sales in deregulated markets) and are identified under ""Electric Fund (CDWR).""
Notes:  * Data are final.  * Electric utilities serving consumers in more than one State are listed under each State served.   Detailed data reported to the EIA on the delivery of power sold by others, by State and consumer sector, the associated delivery revenue, and customer counts, in State ""retail wheeling"" programs is available on EIA's website at: http://www.eia.doe.gov/cneaf/electiricity/page/data.html
Source:  Energy Information Administration, Form EIA-861, ""Annual Electric Power Industry Report"".",,,,,,,,,,,,,,,,,,,,,,
Arizona,,,,,,,,,,,,,,,,,,,,,,
APS Energy Services,,,7,,,573,,,,,"7,450",,,7.69,,,,,,,,
State Total,,,7,,,573,,,,,"7,450",,,7.69,,,,,,,,
California,,,,,,,,,,,,,,,,,,,,,,
3 Phases Electrical Consulting,,,62,,,472,,,,,"6,264",,,7.54,,,,,,,,
ACN Energy Inc,,,"19,633",,,"8,761",,,,,"42,750",,,20.49,,,,,,,,
"AES NewEnergy, Inc",,,308,,,"24,929",,,,,"726,701",,,3.43,,,,,,,,
APS Energy Services,,,24,,,"44,505",,,,,"601,038",,,7.40,,,,,,,,
Calpine Energy Services LP,,,1,,,"1,893",,,,,"60,927",,,3.11,,,,,,,,
Commonwealth Energy Corp,,,"54,740",,,"62,653",,,,,"526,621",,,11.90,,,,,,,,
Corona City of,,,"1,070",,,"2,024",,,,,"20,770",,,9.74,,,,,,,,
Electric Fund (CDWR),,,0,,,"5,444,933",,,,,"58,900,000",,,9.24,,,,,,,,
Enron Energy Marketing Corp,,,"3,879",,,"145,231",,,,,"1,818,359",,,7.99,,,,,,,,
Enron Energy Services,,,"11,545",,,"240,906",,,,,"2,346,576",,,10.27,,,,,,,,
"Enron Power Marketing, Inc",,,12,,,"21,977",,,,,"330,928",,,6.64,,,,,,,,
Green Mountain Energy Co,,,"11,710",,,"12,506",,,,,"83,345",,,15.01,,,,,,,,
"IDACORP Energy, LP",,,2,,,"-3,047",,,,,"68,879",,,-4.42,,,,,,,,
New West Energy,,,"4,324",,,"11,026",,,,,"50,217",,,21.96,,,,,,,,
Sacramento Municipal Util Dist,,,73,,,"6,448",,,,,"40,392",,,15.96,,,,,,,,
Seattle City of,,,1,,,"2,551",,,,,"15,956",,,15.99,,,,,,,,
Sempra Energy Solutions,,,58,,,"35,548",,,,,"872,705",,,4.07,,,,,,,,
Strategic Energy LLC,,,"18,663",,,"96,756",,,,,"1,063,936",,,9.09,,,,,,,,
"Tenderland Power Company, Inc",,,19,,,27,,,,,296,,,9.12,,,,,,,,
State Total,,,"126,124",,,"6,160,099",,,,,"67,576,660",,,9.12,,,,,,,,
Connecticut,,,,,,,,,,,,,,,,,,,,,,
Green Mountain Energy Co,,,733,,,190,,,,,"3,826",,,4.97,,,,,,,,
State Total,,,733,,,190,,,,,"3,826",,,4.97,,,,,,,,
Delaware,,,,,,,,,,,,,,,,,,,,,,
"AES NewEnergy, Inc",,,49,,,"4,936",,,,,"107,028",,,4.61,,,,,,,,
Allegheny Energy Supply Co LLC,,,45,,,"2,001",,,,,"66,714",,,3.00,,,,,,,,
"DTE Energy Marketing, Inc",,,16,,,211,,,,,"4,032",,,5.23,,,,,,,,
FirstEnergy Solutions Corp,,,15,,,204,,,,,"5,670",,,3.60,,,,,,,,
PPL EnergyPlus LLC,,,4,,,874,,,,,"21,412",,,4.08,,,,,,,,
State Total,,,129,,,"8,226",,,,,"204,856",,,4.02,,,,,,,,
District of Columbia,,,,,,,,,,,,,,,,,,,,,,
"PEPCO Energy Service, Inc",,,"1,083",,,"37,285",,,,,"843,512",,,4.42,,,,,,,,
State Total,,,"1,083",,,"37,285",,,,,"843,512",,,4.42,,,,,,,,
Illinois,,,,,,,,,,,,,,,,,,,,,,
"AES NewEnergy, Inc",,,834,,,"145,394",,,,,"3,228,243",,,4.50,,,,,,,,
Central Illinois Light Co,,,507,,,"96,420",,,,,"2,148,381",,,4.49,,,,,,,,
Central Illinois Pub Serv Co,,,538,,,"75,943",,,,,"2,367,038",,,3.21,,,,,,,,
"Exelon Energy, Inc",,,"2,887",,,"115,226",,,,,"2,714,847",,,4.24,,,,,,,,
Peoples Energy Services,,,"1,037",,,"52,483",,,,,"839,604",,,6.25,,,,,,,,
State Total,,,"5,803",,,"485,466",,,,,"11,298,113",,,4.30,,,,,,,,
Maine,,,,,,,,,,,,,,,,,,,,,,
"AES NewEnergy, Inc",,,437,,,"29,019",,,,,"456,867",,,6.35,,,,,,,,
Dominion Retail Inc,,,1,,,"2,412",,,,,"52,040",,,4.63,,,,,,,,
